a,word,level
772,cautious,A3
773,cave,A1
774,cd,A1
775,cease,A3
776,ceiling,A2
777,celebrate,A1
778,celebration,A2
779,celebrity,A1
780,cell,A1
781,cemetery,A3
782,cent,A1
783,central,A2
784,centre,A1
786,century,A1
787,ceremony,A2
788,certain,A1
789,certainly,A1
790,certainty,A1
791,certificate,A1
792,chain,A2
794,chair,A1
796,chairman,A1
797,challenge,A2
799,challenging,A1
800,chamber,A3
801,champion,A2
802,championship,A1
803,chance,A1
804,change,A1
806,channel,A2
807,chaos,A3
808,chapter,A2
809,character,A1
810,characteristic,A1
812,characterize,A3
813,charge,A2
815,charity,A1
816,charm,A3
817,charming,A1
818,chart,A1
820,charter,A3
821,chase,A1
823,chat,A1
825,cheap,A1
827,cheat,A2
829,check,A1
831,cheek,A1
832,cheer,A1
834,cheerful,A2
835,cheese,A1
836,chef,A1
837,chemical,A2
839,chemistry,A1
840,chest,A2
841,chicken,A1
842,chief,A1
844,child,A1
845,childhood,A2
846,chip,A1
847,chocolate,A1
848,choice,A1
849,choir,A1
850,choose,A1
851,chop,A1
852,chronic,A3
853,chunk,A3
854,church,A1
855,cigarette,A1
856,cinema,A1
857,circle,A1
859,circuit,A1
860,circulate,A3
861,circulation,A3
862,circumstance,A1
863,cite,A1
864,citizen,A1
865,citizenship,A3
866,city,A1
867,civic,A3
868,civil,A1
869,civilian,A3
871,civilization,A1
872,claim,A2
874,clarify,A1
875,clarity,A3
876,clash,A3
877,class,A1
878,classic,A1
880,classical,A1
881,classification,A3
882,classify,A1
883,classroom,A1
884,clause,A2
885,clean,A1
887,cleaning,A1
888,clear,A1
890,clearly,A1
891,clerk,A1
892,clever,A1
893,click,A2
895,client,A2
896,cliff,A1
897,climate,A1
898,climb,A2
900,cling,A3
901,clinic,A1
902,clinical,A3
903,clip,A1
904,clock,A1
905,close,A1
909,closed,A1
910,closely,A1
911,closure,A3
912,cloth,A2
913,clothes,A1
914,clothing,A1
915,cloud,A1
916,club,A1
917,clue,A2
918,cluster,A3
